Fecha,TMAX,TMIN,Prec,TMEDIA,GD_Tb2,Fuente,TipoDato,CalidadDato,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-01-01,33.0,9.0,0.0,21.0,19.0,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-02,31.0,9.0,0.0,20.0,18.0,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-03,20.0,10.0,0.0,15.0,13.0,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-04,26.0,7.0,0.0,16.5,14.5,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-05,33.0,12.0,0.0,22.5,20.5,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-06,27.0,15.0,0.0,21.0,19.0,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-07,34.0,13.0,1.8,23.5,21.5,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-08,30.0,12.0,0.0,21.0,19.0,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-09,30.0,12.0,0.0,21.0,19.0,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-10,38.0,17.0,0.3,27.5,25.5,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-11,32.0,19.0,0.3,25.5,23.5,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-12,33.0,21.0,17.5,27.0,25.0,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-13,40.0,17.0,0.0,28.5,26.5,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-14,32.0,16.0,0.0,24.0,22.0,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-15,31.0,10.0,0.0,20.5,18.5,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-16,39.0,17.0,0.0,28.0,26.0,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
2026-01-17,33.0,19.0,10.0,26.0,24.0,METEOBAHIA_XML_ARCHIVADO,Historico_pronostico,Pronostico_MeteoBahia_archivado_no_observado,,,,No_disponible_archivo
