Fecha,TMAX,TMIN,Prec
2026-01-01,33.0,9.0,0.0
2026-01-02,31.0,9.0,0.0
2026-01-03,20.0,10.0,0.0
2026-01-04,26.0,7.0,0.0
2026-01-05,33.0,12.0,0.0
2026-01-06,27.0,15.0,0.0
2026-01-07,34.0,13.0,1.8
2026-01-08,30.0,12.0,0.0
2026-01-09,30.0,12.0,0.0
2026-01-10,38.0,17.0,0.3
2026-01-11,32.0,19.0,0.3
2026-01-12,33.0,21.0,17.5
2026-01-13,40.0,17.0,0.0
2026-01-14,32.0,16.0,0.0
2026-01-15,31.0,10.0,0.0
2026-01-16,39.0,17.0,0.0
2026-01-17,33.0,19.0,10.0
2026-01-18,34.0,17.0,0.0
2026-01-19,36.0,7.0,0.0
2026-01-20,33.0,15.0,0.0
2026-01-21,29.0,11.0,0.0
2026-01-22,35.0,12.0,0.0
2026-01-23,27.0,14.0,0.0
2026-01-24,29.0,15.0,0.0
2026-01-25,35.0,14.0,0.0
2026-01-26,34.0,14.0,0.3
2026-01-27,39.0,11.0,0.0
2026-01-28,37.0,12.0,0.0
2026-01-29,33.0,24.0,20.0
2026-01-30,34.0,21.0,0.1
2026-01-31,37.0,16.0,0.0
2026-02-01,31.0,23.0,0.0
2026-02-02,38.0,22.0,0.0
2026-02-03,30.0,19.0,1.0
2026-02-04,28.0,17.0,2.2
2026-02-05,23.0,17.0,2.1
2026-02-06,29.0,10.0,0.0
2026-02-07,29.0,12.0,0.0
2026-02-08,33.0,17.0,0.2
2026-02-09,29.0,18.0,1.3
2026-02-10,30.0,17.0,5.1
2026-02-11,25.0,13.0,0.2
2026-02-12,25.0,15.0,0.0
2026-02-13,24.0,10.0,0.0
2026-02-14,27.0,15.0,1.0
2026-02-15,29.0,18.0,0.1
2026-02-16,34.0,17.0,0.0
2026-02-17,34.0,20.0,0.7
2026-02-18,34.0,18.0,3.0
2026-02-19,28.0,12.0,0.0
2026-02-20,35.0,13.0,0.0
2026-02-21,36.0,16.0,0.0
2026-02-22,33.0,17.0,0.0
2026-02-23,33.0,18.0,0.0
2026-02-24,25.0,13.0,0.0
2026-02-25,24.0,9.0,0.0
2026-02-26,31.0,8.0,0.0
2026-02-27,32.0,11.0,0.0
2026-02-28,32.0,17.0,5.4
2026-03-01,37.0,18.0,0.0
2026-03-02,27.0,18.0,34.1
2026-03-03,29.0,10.0,0.0
2026-03-04,24.0,12.0,0.0
2026-03-05,25.0,8.0,0.0
2026-03-06,27.0,12.0,0.0
2026-03-07,28.0,13.0,0.0
2026-03-08,30.0,13.0,0.0
2026-03-09,21.0,13.0,5.4
2026-03-10,30.0,14.0,0.0
2026-03-11,31.0,14.0,0.0
2026-03-12,32.0,14.0,0.0
2026-03-13,31.0,16.0,0.5
2026-03-14,25.0,15.0,7.2
2026-03-15,24.0,16.0,16.6
2026-03-16,28.0,14.0,15.8
2026-03-17,22.0,12.0,31.1
2026-03-18,26.0,9.0,0.0
2026-03-19,28.0,16.0,0.6
2026-03-20,23.0,16.0,7.2
2026-03-21,21.0,12.0,19.8
2026-03-22,25.0,9.0,0.5
2026-03-23,19.0,10.0,1.9
2026-03-24,26.0,10.0,3.3
2026-03-25,23.0,10.0,7.6
2026-03-26,27.0,7.0,0.0
2026-03-27,30.0,14.0,0.0
2026-03-28,31.0,14.0,0.0
2026-03-29,32.0,19.0,0.0
2026-03-30,32.0,19.0,0.0
2026-03-31,29.0,21.0,17.8
2026-04-01,27.0,17.0,0.0
2026-04-02,27.0,13.0,0.0
2026-04-03,22.0,10.0,0.0
2026-04-04,19.0,7.0,0.0
2026-04-05,20.0,4.0,0.0
2026-04-06,20.0,9.0,0.7
2026-04-07,20.0,7.0,0.0
2026-04-08,22.0,9.0,0.0
2026-04-09,23.0,7.0,0.0
2026-04-10,26.0,9.0,0.0
2026-04-11,26.0,11.0,0.0
2026-04-12,26.0,12.0,0.0
2026-04-13,26.0,11.0,0.0
2026-04-14,29.0,14.0,1.2
